"Business:","Lynn C. Harris,170 S Main St Ste 1500, Salt Lake City, UT 84101"
"Keyword:","car accident lawyer"
"Report Date:",2021-05-21 10:56:53
"Grid Size:","15x15"
"Radius:","10.0mi"
"ARP:","17.41"
"ATRP:","20.57"
"SoLV:","0.00"

"Your Rank","Latitude","Longitude","Search URL","Position 1","Position 2","Position 3","Position 4","Position 5","Position 6","Position 7","Position 8","Position 9","Position 10","Position 11","Position 12","Position 13","Position 14","Position 15","Position 16","Position 17","Position 18","Position 19","Position 20",
"20+","40.62080592806551","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.62080592806551,40.62080592806551","Fielding Law - Accident Attorneys","Utah Personal Injury Lawyers","Siegfried & Jensen","Brian Hills Law","The Advocates","Kramer Law Group","Symkoviak Law Firm","Robert J. DeBry & Associates","Craig Swapp & Associates","Craig Swapp & Associates","William R. Rawlings & Associates","Larson Law","Lowe Law Group","William Enoch Andrews, Injury Lawyer PC","Handy & Handy Attorneys At Law","Ipson Law Firm","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Cockayne Law Firm","The Law Office of Brett G. Pearce",
"20+","40.64145870977043","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.64145870977043,40.64145870977043","Fielding Law - Accident Attorneys","Symkoviak Law Firm","Siegfried & Jensen","Brian Hills Law","Utah Personal Injury Lawyers","The Advocates","Kramer Law Group","Robert J. DeBry & Associates","Craig Swapp & Associates","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","Lowe Law Group","William R. Rawlings & Associates","Larson Law","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","Cockayne Law Firm",
"20+","40.66211149147536","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.66211149147536,40.66211149147536","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","Brian Hills Law","The Advocates","Craig Swapp & Associates","Utah Personal Injury Lawyers","Robert J. DeBry & Associates","Kramer Law Group","William Enoch Andrews, Injury Lawyer PC","Craig Swapp & Associates","Lowe Law Group","Handy & Handy Attorneys At Law","William R. Rawlings & Associates","Larson Law","Symkoviak Law Firm","Ipson Law Firm","Good Guys Legal - Christensen & Hymas","801-INJURED","Cockayne Law Firm",
"20+","40.68276427318029","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.68276427318029,40.68276427318029","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","Brian Hills Law","The Advocates","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Utah Personal Injury Lawyers","Lowe Law Group","Kramer Law Group","Craig Swapp & Associates","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","William R. Rawlings & Associates","Ipson Law Firm","801-INJURED","Larson Law","William R. Rawlings & Associates",
"20+","40.703417054885215","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.703417054885215,40.703417054885215","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Siegfried & Jensen","Craig Swapp & Associates","The Advocates","Brian Hills Law","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Lowe Law Group","Utah Personal Injury Lawyers","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","Kramer Law Group","Craig Swapp & Associates","Symkoviak Law Firm","801-INJURED","Ipson Law Firm","William R. Rawlings & Associates","Larson Law","William R. Rawlings & Associates",
"20","40.72406983659014","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.72406983659014,40.72406983659014","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","The Advocates","William Enoch Andrews, Injury Lawyer PC","Robert J. DeBry & Associates","Symkoviak Law Firm","801-INJURED","Brian Hills Law","Handy & Handy Attorneys At Law","G & R Injury Lawyers","Lowe Law Group","Good Guys Legal - Christensen & Hymas","Injury Smart Law","Utah Personal Injury Lawyers","Austin Legal","Peter W. Summerill","Craig Swapp & Associates","Lynn C. Harris",
"20+","40.74472261829507","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.74472261829507,40.74472261829507","Symkoviak Law Firm","Fielding Law - Accident Attorneys","Craig Swapp & Associates","Siegfried & Jensen","William Enoch Andrews, Injury Lawyer PC","The Advocates","Robert J. DeBry & Associates","Brian Hills Law","Handy & Handy Attorneys At Law","Lowe Law Group","Good Guys Legal - Christensen & Hymas","801-INJURED","Symkoviak Law Firm","Utah Personal Injury Lawyers","Craig Swapp & Associates","Ipson Law Firm","Kramer Law Group","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson","Law Office of Ralph C Petty Injury Lawyers",
"20+","40.765375399999996","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.765375399999996,40.765375399999996","Fielding Law - Accident Attorneys","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","Symkoviak Law Firm","Siegfried & Jensen","The Advocates","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Brian Hills Law","Good Guys Legal - Christensen & Hymas","Lowe Law Group","801-INJURED","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Utah Personal Injury Lawyers","Craig Swapp & Associates","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson","Peter W. Summerill","Ipson Law Firm",
"20+","40.78602818170492","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.78602818170492,40.78602818170492","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Symkoviak Law Firm","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","801-INJURED","Brian Hills Law","Good Guys Legal - Christensen & Hymas","Lowe Law Group","Symkoviak Law Firm","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson","Peter W. Summerill","Utah Personal Injury Lawyers","Symkoviak Law Firm","Craig Swapp & Associates",
"20+","40.80668096340985","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.80668096340985,40.80668096340985","Craig Swapp & Associates","Fielding Law - Accident Attorneys","William Enoch Andrews, Injury Lawyer PC","The Advocates","Siegfried & Jensen","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Symkoviak Law Firm","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","801-INJURED","Brian Hills Law","Symkoviak Law Firm","Lowe Law Group","Symkoviak Law Firm","G & R Injury Lawyers","Eisenberg, Cutt, Kendell & Olson","Peter W. Summerill","Utah Personal Injury Lawyers","Injury Smart Law",
"20+","40.82733374511478","-112.0279008283965","https://www.google.com/maps/search/?api=1&query=40.82733374511478,40.82733374511478","Craig Swapp & Associates","William Enoch Andrews, Injury Lawyer PC","Fielding Law - Accident Attorneys","The Advocates","Siegfried & Jensen","Robert J. DeBry & Associates","Handy & Handy Attorneys At Law","Good Guys Legal - Christensen & Hymas","Good Guys Legal - Christensen & Hymas","Symkoviak Law Firm","801-INJURED","Symkoviak Law Firm","Symkoviak Law Firm","Brian Hills Law","Lowe Law Group","G & R Injury Lawyers","Peter W. Summerill","Eisenberg, Cutt, Kendell & Olson","Injury Smart Law","Utah Personal Injury Lawyers",
